place;netTime;clockTime;yob;ageClass;acPlace;sex;nationality
1;7466;7466;1973;30;1;M;ETH
2;7611;7611;1978;20;1;M;KEN
3;7649;7649;1979;20;2;M;KEN
4;7681;7681;1978;20;3;M;KEN
5;7789;7789;0;20;4;M;ETH
6;7831;7831;1973;30;2;M;AUS
7;7920;7920;1979;20;5;M;POL
8;7928;7928;1971;35;1;M;KEN
9;7941;7941;1976;30;3;M;JPN
10;7966;7966;1976;30;4;M;ESP
11;7993;7995;1982;20;6;M;ETH
12;8024;8026;1983;20;7;M;KEN
13;8025;8027;1979;20;8;M;ESP
14;8049;8052;1982;20;9;M;ETH
15;8087;8089;1975;30;5;M;UKR
16;8091;8094;1975;30;6;M;JPN
17;8100;8102;1975;30;7;M;AUS
18;8177;8179;1975;30;8;M;JPN
19;8244;8246;1966;40;1;M;SVN
20;8261;8264;1976;30;9;M;ESP
21;8289;8291;1978;20;10;M;CZE
22;8323;8326;1976;30;10;M;PRT
23;8344;8346;1978;20;11;M;DEU
24;8382;8384;0;20;12;M;ETH
25;8515;8520;1967;40;2;M;ESP
26;8532;8536;1975;30;11;M;SWE
27;8544;8546;1974;30;12;M;FRA
28;8572;8574;1983;20;13;M;FRA
29;8575;8577;1978;20;14;M;HUN
30;8588;8591;0;20;15;M;ETH
31;8597;8597;1974;30;1;W;ETH
32;8644;8646;1971;35;2;M;BEL
33;8653;8656;1974;30;13;M;FRA
34;8687;8690;1974;30;14;M;CHE
35;8689;8692;0;20;16;M;KEN
36;8691;8691;1972;35;1;W;DEU
37;8734;8737;1973;30;15;M;ITA
38;8787;8787;1976;30;2;W;KEN
39;8814;8814;1970;35;2;W;RUS
40;8823;8842;1976;30;16;M;NOR
41;8825;8828;1976;20;17;M;DEU
42;8825;8827;1970;35;3;M;GBR
43;8852;8855;1971;35;4;M;ITA
44;8862;8864;0;20;18;M;CAN
45;8872;8874;1970;35;5;M;LBR
46;8874;8889;1982;20;19;M;DEU
47;8874;8878;1978;20;20;M;GBR
48;8884;8901;1982;20;21;M;NIC
49;8888;8892;1980;20;22;M;ISR
50;8897;8900;1977;30;17;M;FRA
51;8907;8910;1974;30;18;M;GBR
52;8911;8913;1975;30;19;M;POL
53;8913;8913;1980;20;1;W;JPN
54;8915;8928;1976;30;20;M;GBR
55;8920;8936;1975;30;21;M;FRA
56;8941;8947;1982;20;23;M;SWE
57;8951;8961;1974;30;22;M;ITA
58;8952;8959;1980;20;24;M;GBR
59;8956;8962;1977;30;23;M;SWE
60;8967;8976;1970;35;6;M;FRA
61;9009;9017;1971;35;7;M;DEU
62;9019;9036;1964;40;3;M;DEU
63;9036;9065;1970;35;8;M;BEL
64;9043;9043;1972;35;3;W;GBR
65;9052;9064;1982;20;25;M;GRC
66;9093;9093;1976;30;3;W;KEN
67;9095;9100;1973;30;24;M;CHE
68;9101;9101;1978;20;2;W;PRT
69;9118;9126;1978;20;26;M;SWE
70;9127;9132;1964;40;4;M;DNK
71;9142;9154;1983;20;27;M;DNK
72;9143;9147;1972;35;9;M;SWE
73;9144;9148;1976;30;25;M;FRA
74;9160;9172;1976;30;26;M;BEL
75;9170;9183;1974;30;27;M;AUT
76;9177;9183;1973;30;28;M;DEU
77;9181;9188;1968;35;10;M;DEU
78;9188;9192;0;20;28;M;ETH
79;9189;9193;1973;30;29;M;CHN
80;9197;9204;1986;20;29;M;DEU
81;9197;9207;1973;30;30;M;ITA
82;9221;9224;1976;30;31;M;FRA
83;9249;9257;1979;20;30;M;DEU
84;9255;9261;1965;40;5;M;DEU
85;9286;9306;1964;40;6;M;BEL
86;9302;9312;1962;45;1;M;AUT
87;9317;9331;1963;40;7;M;AUT
88;9319;9331;1971;35;11;M;AUT
89;9319;9334;1962;45;2;M;DEU
90;9320;9324;1970;35;12;M;ITA
91;9323;9345;1981;20;31;M;SVN
92;9324;9343;1960;45;3;M;POL
93;9328;9346;1972;35;13;M;CHE
94;9343;9391;1974;30;32;M;GBR
95;9350;9354;1968;35;14;M;ITA
96;9357;9357;1974;30;4;W;CHE
97;9366;9371;1969;35;15;M;DEU
98;9372;9378;1978;20;32;M;DEU
99;9379;9385;1961;45;4;M;DEU
100;9381;9384;0;20;33;M;AUT
101;9381;9381;1973;30;5;W;AUT
102;9383;9386;1966;40;8;M;DEU
103;9390;9406;1977;30;33;M;ESP
104;9392;9395;1956;50;1;M;FRA
105;9396;9400;1983;20;34;M;DEU
106;9398;9412;1972;35;16;M;CHE
107;9402;9407;1970;35;17;M;IRL
108;9413;9422;1968;35;18;M;DEU
109;9415;9418;0;20;35;M;ESP
110;9418;9418;1971;35;4;W;ESP
111;9434;9444;1976;30;34;M;BEL
112;9443;9452;1965;40;9;M;DEU
113;9456;9460;1969;35;19;M;PRT
114;9467;9467;1968;35;5;W;SWE
115;9467;9473;1982;20;36;M;DEU
116;9468;9475;1976;30;35;M;DEU
117;9470;9470;1975;30;6;W;JPN
118;9472;9489;1964;40;10;M;ESP
119;9475;9481;1965;40;11;M;DEU
120;9494;9504;1971;35;20;M;DEU
121;9495;9515;1971;35;21;M;DNK
122;9496;9518;1968;35;22;M;GBR
123;9501;9519;1978;20;37;M;DEU
124;9502;9508;1962;45;5;M;POL
125;9505;9512;1963;40;12;M;DEU
126;9507;9521;1969;35;23;M;AUT
127;9507;9522;1969;35;24;M;DEU
128;9519;9526;1971;35;25;M;GBR
129;9523;9539;1983;20;38;M;BLR
130;9529;9549;1976;30;36;M;ESP
131;9533;9545;1974;30;37;M;MEX
132;9538;9545;1972;35;26;M;AUT
133;9541;9564;1967;40;13;M;CHE
134;9542;9576;1971;35;27;M;FRA
135;9542;9556;1958;45;6;M;USA
136;9543;9556;1973;30;38;M;DEU
137;9546;9561;1970;35;28;M;RUS
138;9550;9555;1968;35;29;M;DEU
139;9555;9574;1979;20;39;M;FRA
140;9559;9569;1974;30;39;M;DEU
141;9565;9569;1974;30;40;M;FIN
142;9568;9581;1969;35;30;M;AUT
143;9571;9571;1975;30;7;W;IRL
144;9578;9584;1967;40;14;M;DEU
145;9579;9594;1969;35;31;M;DEU
146;9582;9588;1963;40;15;M;DEU
147;9584;9602;1969;35;32;M;GBR
148;9591;9600;1965;40;16;M;DEU
149;9592;9610;1974;30;41;M;CHE
150;9595;9600;1968;35;33;M;AUT
151;9601;9601;1980;20;3;W;CHE
152;9606;9609;1967;40;17;M;ITA
153;9607;9614;1967;40;18;M;DEU
154;9613;9626;1982;20;40;M;DEU
155;9631;9642;1976;30;42;M;FRA
156;9635;9639;1972;35;34;M;FRA
157;9639;9645;1976;30;43;M;NOR
158;9647;9662;1972;35;35;M;FRA
159;9649;9661;1965;40;19;M;DNK
160;9654;9668;1975;30;44;M;DNK
161;9664;9683;1969;35;36;M;DEU
162;9672;9681;1957;50;2;M;DEU
163;9675;9686;1968;35;37;M;FRA
164;9680;9694;1958;45;7;M;AUT
165;9682;9706;1973;30;45;M;GBR
166;9693;9696;1973;30;8;W;BEL
167;9695;9718;1969;35;38;M;DEU
168;9695;9699;1986;20;41;M;GRC
168;9695;9709;1976;30;46;M;DEU
170;9698;9717;1959;45;8;M;ITA
171;9699;9705;1970;35;39;M;GBR
172;9705;9719;1973;30;47;M;CHE
173;9715;9729;1974;30;48;M;CHE
174;9716;9737;1965;40;20;M;CHE
175;9717;9728;1967;40;21;M;FRA
176;9724;9741;1973;30;49;M;DEU
177;9725;9749;1967;40;22;M;DEU
178;9725;9742;1962;45;9;M;AUT
179;9726;9748;1962;45;10;M;DEU
180;9736;9744;1971;35;40;M;GBR
181;9740;9748;1972;35;41;M;DNK
182;9744;9752;1982;20;42;M;ISR
183;9745;9762;1969;35;42;M;DEU
184;9749;9762;1979;20;43;M;DEU
185;9755;9763;1963;40;23;M;DEU
186;9755;9769;1971;35;43;M;DEU
187;9756;9784;1968;35;44;M;DEU
188;9760;9777;1970;35;45;M;DEU
189;9762;9770;1962;45;11;M;NOR
190;9768;9778;1974;30;50;M;ESP
191;9770;9788;1976;30;51;M;DEU
192;9775;9779;1968;35;46;M;DNK
193;9778;9796;1968;35;47;M;DNK
194;9780;9787;1963;40;24;M;DEU
195;9784;9806;1970;35;48;M;DEU
196;9785;9804;1968;35;49;M;POL
