place;netTime;clockTime;yob;ageClass;acPlace;sex;nationality;
1;7568;7568;1973;35;1;M;ETH;
2;7624;7624;1982;20;1;M;KEN;
3;7661;7661;1983;20;2;M;ETH;
4;7781;7781;1986;20;3;M;ETH;
5;7792;7792;0;20;4;M;KEN;
6;7798;7798;1984;20;5;M;ETH;
7;7948;7948;1982;20;6;M;ETH;
8;7974;7974;1976;30;1;M;JPN;
9;7980;7980;1978;30;2;M;JPN;
10;7999;7999;1982;20;7;M;ZWE;
11;8007;8007;0;20;8;M;KEN;
12;8105;8105;1982;20;9;M;ETH;
13;8135;8135;1978;30;3;M;GBR;
14;8175;8175;1983;20;10;M;KEN;
15;8253;8253;1983;20;11;M;DNK;
16;8279;8279;1973;35;2;M;USA;
17;8291;8291;1983;20;12;M;DEU;
18;8327;8327;1980;20;13;M;AUT;
19;8392;8392;1983;20;14;M;KEN;
20;8499;8499;1982;20;15;M;DEU;
21;8507;8509;1980;20;16;M;DNK;
22;8561;8561;0;20;17;M;FRA;
23;8587;8628;1977;30;4;M;ISR;
24;8599;8599;1979;30;5;M;NZL;
25;8619;8621;1972;35;3;M;ESP;
26;8650;8650;1981;20;18;M;ITA;
27;8650;8653;1970;35;4;M;AUT;
28;8659;8667;1981;20;19;M;DNK;
29;8668;8668;0;20;20;M;JPN;
30;8684;8684;1973;35;5;M;GBR;
31;8687;8687;1987;20;1;W;ETH;
32;8687;8687;0;20;21;M;DEU;
33;8697;8709;1979;30;6;M;GBR;
34;8719;8726;1969;40;1;M;DNK;
35;8723;8723;1978;30;7;M;AUT;
36;8725;8725;1976;30;8;M;GBR;
37;8727;8727;1978;30;9;M;DNK;
38;8727;8727;1973;35;6;M;JPN;
39;8742;8742;1981;20;22;M;NLD;
40;8784;8784;1974;35;1;W;RUS;
41;8798;8798;1983;20;2;W;ETH;
42;8805;8805;1979;30;1;W;ITA;
43;8807;8807;0;20;23;M;ITA;
44;8808;8813;1971;35;7;M;FRA;
45;8810;8810;1978;30;10;M;AUT;
46;8829;8829;1986;20;3;W;ETH;
47;8857;8879;1971;35;8;M;GBR;
48;8860;8860;0;20;24;M;SWE;
49;8868;8868;1974;35;9;M;DEU;
50;8881;8902;1977;30;11;M;USA;
51;8889;8894;1976;30;12;M;FRA;
52;8891;8892;1981;20;25;M;MEX;
53;8907;8919;1970;35;10;M;JPN;
54;8923;8930;1967;40;2;M;ZAF;
55;8923;8928;1981;20;26;M;IRL;
56;8937;8955;1975;30;13;M;GBR;
57;8957;8957;1972;35;2;W;KEN;
58;8964;8970;1970;35;11;M;BEL;
59;8992;9023;1987;20;27;M;DEU;
60;8998;9023;1971;35;12;M;ESP;
61;9024;9032;1984;20;28;M;DEU;
62;9027;9032;1966;40;3;M;NLD;
63;9029;9077;1976;30;14;M;GBR;
64;9034;9036;1963;45;1;M;DNK;
65;9037;9074;1973;35;13;M;EST;
66;9051;9054;1973;35;14;M;AUS;
67;9058;9062;1979;30;15;M;USA;
68;9062;9075;1983;20;29;M;BLR;
69;9068;9074;1969;40;4;M;GBR;
70;9068;9074;1974;35;15;M;GBR;
71;9073;9084;1972;35;16;M;GBR;
72;9078;9084;1972;35;17;M;DNK;
73;9082;9103;1978;30;16;M;DEU;
74;9101;9101;1974;35;18;M;CHE;
75;9108;9110;1977;30;17;M;CHE;
76;9123;9144;1980;20;30;M;DEU;
77;9126;9129;1976;30;18;M;GBR;
78;9137;9137;1979;30;2;W;RUS;
79;9149;9175;1959;50;1;M;ESP;
80;9164;9169;1972;35;19;M;FRA;
